Label,statement,subjects,speaker_name,speaker_job,speaker_state,speaker_affiliation,statement_context
half-true,"Before we even passed health care, 4 millions kids got health insurance that didnt have it before, through the Childrens Health Insurance Program.",families$health-care,barack-obama,President,Illinois,democrat,an interview on The Daily Show.
true,The mayor said 'if you happen to be in this country in an undocumented status . . . then we welcome you here. We want you here. We'll protect you here.' ,immigration,mitt-romney,Former governor,Massachusetts,republican,"a debate in St. Petersburg, Fla."
mostly-true,Sarah Palin was repeating Abraham Lincoln's words in discussing the war in Iraq.,religion,sarah-palin,,Alaska,republican,"Fairbanks, Alaska"
mostly-true,NASCAR fans are twice as likely as non fans to serve in the military and 37 percent of active servicemembers and veterans are NASCAR fans.,military,steve-phelps,"Chief Marketing Officer, NASCAR",,none,
barely-true,"In Florida, 300,000 people are going to lose their individual coverage because of Obamacare. Now those people next year, they dont have health insurance.",health-care,marco-rubio,U.S. Senator,Florida,republican,an interview on The O'Reilly Factor.
barely-true,Says Sen. Elizabeth Warren lives in a $5.4 million mansion.,candidates-biography$housing,facebook-posts,Social media posting,,none,a meme on social media
mostly-true,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",education$message-machine$taxes,empower-texans,,Texas,none,a Web video
half-true,"Hank Johnson voted against legislation to help first responders, teachers, vets and troops.",voting-record,liz-carter,,Georgia,republican,a press release
mostly-true,Buying the naming rights to the new Falcons stadium is the largest marketing deal in Mercedes-Benz history.,sports,steve-cannon,"CEO, Mercedes-Benz USA",Georgia,none,press release
true,The costs of cancer and all affiliated issues are over $20 billion a year to this state.,health-care,jim-keffer,"President-EBAA Iron Sales, Inc.",Texas,republican,House floor remarks
barely-true,"In discussing the attacks on the U.S. consulate in Benghazi, Libya,Ms. Rice did say a terrorist attack. Its not that she put the whole thing on the video.",terrorism,cokie-roberts,"NPR contributor, ABC commentator",Maryland,journalist,comments on ABC's This Week
half-true,You can absolutely get a gun if you have several felonies as long as you buy it on the Internet or at a gun show.,crime$guns,amy-schumer,,,none,an episode of Inside Amy Schumer
barely-true,Congress and President Obama have accumulated more debt since he took office than the total amount of debt accumulated during the first 200 years of the United States existence.,federal-budget,chip-rogers,State Senator,Georgia,republican,a campaign flyer
barely-true,"Says Bill Clinton gave a speech in 1996 about Iraq having WMDs and said we needed a regime change, even though everyone blamed those things on George W. Bush.",foreign-policy$history$military,facebook-posts,Social media posting,,none,a social media post
half-true,Electricity rates are 40 percent higher in states that have required utility companies to use a certain amount of renewable energy such as solar power.,energy,americans-prosperity-georgia-chapter,,,none,an email
half-true,"Fred's never had a 100 percent record on right-to-life in his Senate career. The records reflect that. And he doesn't support the human life amendment, which is most amazing because that's been a part of the Republican platform since 1980.",abortion,mike-huckabee,author,Arkansas,republican,an appearance on Fox News Sunday
true,The city of Clarkston cant decriminalize marijuana. Only state legislators and Congress can do that.,drugs,vernon-keenan,Director of the Georgia Bureau of Investigation,Georgia,none,Newspaper interview 
true,Weve had Muslims in America since George Washington.,history$immigration,hillary-clinton,Presidential candidate,New York,democrat,the second presidential debate
half-true,Says Romney and Ryan both backed proposals that would outlaw abortions even in cases of rape or incest.,abortion$corrections-and-updates$message-machine-2012,barack-obama,President,Illinois,democrat,a campaign ad
mostly-true,On average it takes 300 Americans working for a solid year to make as much money as one top CEO.,income$workers,hillary-clinton,Presidential candidate,New York,democrat,a Hillary for America campaign ad
true,"Fifty-one percent -- that is, a majority of American households -- paid no income tax in 2009. Zero. Zip. Nada.",taxes,john-cornyn,Senator,Texas,republican,a Senate floor speech
false,"In the past 20 years, Egypt has made great strides in political and democratic reform.",foreign-policy$abc-news-week,sameh-shoukry,,,none,an interview on ABC's This Week with Christiane Amanpour.
half-true,"Federal, state and local governments have subsidized the production of the Volt to the tune of estimates between $50,000 and $250,000 per vehicle sold.",corporations$energy$technology,jim-jordan,U.S. representative,Ohio,republican,a congressional hearing
barely-true,"In 2010, Clinton said Iran could enrich uranium. In 2014 she said shes always argued against it.",foreign-policy,mitch-mcconnell,Senate minority leader,Kentucky,republican,a speech at the Republican National Convention
false,"Muslims attempted to establish the first Islamic Sharia court inside the United States in the town of Irving, Texas.",legal-issues$religion,chain-email,,,none,a chain email
extremely-false,"Says under his budget-repair bill, collective bargaining is fully intact.",labor$state-budget,scott-walker,Milwaukee County Executive,Wisconsin,republican,a radio interview
mostly-true,We cut property taxes for seniors and our middle class.,taxes,charlie-crist,,Florida,democrat,campaign commercial
half-true,I had the lowest net worth of any American president in the 20th century when I took office.,history$wealth,bill-clinton,former president,Arkansas,democrat,comments on NBC's Meet the Press
true,Says Your kid just ate 16 packs of sugar.,county-government$public-health,multnomah-county,,,none,a public health campaign
barely-true,"The reason we even have colleges is that at some point there were politicians who said, You know what? We should start colleges.",education$history,barack-obama,President,Illinois,democrat,an interview with YouTube celebrity Bethany Mota
false,The congressional district for Miami-Dade and Broward counties has a staggering drop-out rate of almost 61 percent.,children$education,rudy-moise,doctor,Florida,democrat,a campaign website
mostly-true,Says it wasnt until he and a Senate colleague were able to wrangle the actual streaming video from BP that scientists were able to calculate the oil spill flow.,energy$environment$oil-spill,bill-nelson,,Florida,democrat,a Senate floor speech
half-true,"Earmarked dollars have doubled just since 2000, and more than tripled in the last 10 years.",federal-budget,john-mccain,U.S. senator,Arizona,republican,a campaign Web site.
mostly-true,African Americans are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police.,crime$diversity$legal-issues,bernie-s,U.S. Senator,Vermont,independent,web site
half-true,Says he did not support the October 2008 legislation to rescue Wall Street firms.,federal-budget$financial-regulation$new-hampshire-2012,rick-perry,Governor,Texas,republican,answer to questions.
mostly-true,"In 2011, our state-run lottery funded New Jersey classrooms by over $930 million.",education$gambling$state-finances,big-gamble-nj,,New Jersey,none,a website
false,There were $2 billion in earmarks in fiscal year 2012.,congressional-rules,karl-king,Massage therapist,Oregon,none,a website statement
false,"The United States is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.",military,marco-rubio,U.S. Senator,Florida,republican,a speech at the Iowa Faith and Freedom Summit
true,"Since Gov. Nathan Deal office in 2011, the states rainy day fund has grown by 643 percent.",state-budget$state-finances$states,nathan-deal,,,republican,State of the State address
mostly-true,Says(President) Reagans second inaugural was moved inside the Capitol. It was. Because of a terrible snowstorm.,history$weather,peggy-noonan,"Columnist, Wall Street Journal",,journalist,a broadcast of ABC's This Week
false,On reconciliation,bipartisanship$health-care$legal-issues,barack-obama,President,Illinois,democrat,campaign speeches
mostly-true,"My 7-step plan creates 700,000 jobs in 7 years.",economy$government-efficiency$state-budget$taxes,rick-scott,Governor,Florida,republican,campaign materials.
barely-true,I have fought for our shared values without being an ideologue or a partisan,candidates-biography,chris-abele,Philanthropist,Wisconsin,none,a news conference announcing his candidacy for Milwaukee County executive
false,"I remember one of [Curt Schillings] teammates said he painted his sock, the bloody sock.",baseball$economy$pop-culture,lincoln-chafee,,Rhode Island,democrat,in a comment on the John DePetro Show
half-true,[A] 2009 USDA study found that 87 percent of chicken carcasses tested positive for generic E. coli ... just prior to packaging.,food-safety,physicians-committee-responsible-medicine,,,organization,a letter
mostly-true,There has been $5 trillion in debt added over the last four years.,debt,chris-christie,Governor of New Jersey,New Jersey,republican,a speech at the Republican National Convention in Tampa
barely-true,Says new mandates are already reducing full-time employment.,economy$health-care$jobs,americans-prosperity,,,none,a television ad
mostly-true,"We have 33,000 people a year who die from guns.",crime$guns$public-safety,hillary-clinton,Presidential candidate,New York,democrat,the third 2016 presidential debate
mostly-true,"Were fifth in the world (in executions), behind China, Iran, Iraq and Saudi Arabia.",criminal-justice,bill-maher,Host of Real Time with Bill Maher,California,independent,in comments on Real Time with Bill Maher
half-true,The Orlando shooter used a weapon of war.,guns,tammy-baldwin,U.S. Representative,Wisconsin,democrat,a radio interview
false,Says the No. 2 cause of death in the U.S. (for) women under 50 is being killed by their spouse or domestic partner.,crime$families$women,rod-monroe,State Senator,Oregon,democrat,a floor speech.
true,"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",climate-change$energy,mike-pence,Governor,Indiana,republican,MSNBC interview.
